0.23001961,5.0725783,-0.27606055,0.83244412,-0.37786573,0.4803223,0,1.0
0.029106,0.05414,0.041979,0,0,0,0,1
0,0.004777,0.208396,0,0,0,0,1
0.041201,0.10828,0.004498,0,0,0,0,1
0.021101,0.013535,0.014993,0.175993,0,0.676842,0,1
0.018704,0.015924,0.028486,0.15621,0.076968,0.621053,0,1
0.022166,0.022293,0.013493,0.168282,0.088404,0.693684,0,1
0.021736,0.003981,0.049475,0,0,0,0,1
0.019596,0.018312,0.04048,0.196827,0,0.675789,0,1
0,0,0,0,0,0,0,1
0.021778,0.026274,0.053973,0.194364,0,0.809474,0,1
0,0,0,0,0,0,0,1
0.048293,0.004777,0.002999,0,0,0,0,1
0.040939,0.370223,0.010495,0.309553,0,0.606316,0,1
0.064673,0.275478,0.007496,0.26074,0,0.652632,0,1
0.036244,0.404459,0.005997,0.155887,0,0.636842,0,1
0,0,0,0,0,0,0,1
0.021159,0.034236,0.010495,0,0,0,0,1
0.255599,0.003981,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0.049531,0.575637,0.017991,0.142523,0.048714,0.552632,0,1
0.047952,0.187102,0.002999,0.214107,0,0.628421,0,1
0.010595,0.004777,0.067466,0.063671,0.021042,0.768421,0,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0.042922,0.192675,0.029985,0.16699,0.04609,0.691579,0,1
0.028786,0.053344,0.013493,0.134407,0,0.729474,0,1
0.015143,0.01035,0.02099,0,0,0,0,1
0.031178,0.046975,0.016492,0.086725,0,0.763158,0,1
0.043021,0.188694,0.022489,0,0,0,0,1
0.019948,0.069268,0.047976,0.122941,0.046609,0.730526,0,1
0.018631,0.093949,0.031484,0.192708,0.041868,0.777895,0,1
0,0,0,0,0,0,0,1
0.024511,0.035828,0.038981,0.184512,0,0.755789,0,1
0.014298,0.017516,0.083958,0,0,0,0,1
0,0,0,0,0,0,0,1
0.032116,0.117834,0.028486,0.139858,0,0.743158,0,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0.018579,0.017516,0.031484,0.200864,0,0.702105,0,1
0,0,0,0,0,0,0,1
0.07486,0.926752,0.004498,0.22198,0.067628,0.430526,0,1
0,0,0,0,0,0,0,1
0.072573,0.993631,0.002999,0.172965,0,0.433684,0,1
0.033165,0.093949,0.034483,0.137032,0.059683,0.721053,0,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0.022261,0.025478,0.008996,0.130208,0,0.889474,0,1
0.027238,0.031051,0.035982,0.130612,0.020052,0.764211,0,1
0.033485,0.027866,0.01949,0.153666,0.041521,0.723158,0,1
0.009001,0.015127,0.058471,0.079942,0.063113,0.68,0,1
0.028539,0.018312,0.016492,0,0,0,0,1
0.05038,0.17914,0.013493,0.171068,0,0.658947,0,1
0.06117,0.976115,0.008996,0.226785,0.039901,0.561053,0,1
0.019486,0.020701,0.028486,0,0,0,0,1
0.02877,0.019108,0.016492,0.158672,0.042741,0.836842,0,1
0,0,0,0,0,0,0,1
0.030879,0.16879,0.115442,0.156775,0.015208,0.42,0,1
0.031896,0.171975,0.023988,0,0,0,0,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0.043561,0.110669,0.029985,0.106468,0,0.716842,0,1
0.029567,0.041401,0.010495,0.167393,0,0.816842,0,1
0.033837,0.003185,0.004498,0,0,0,0,1
0.024228,0.031847,0.028486,0.196867,0.036182,0.776842,0,1
0.023378,0.088376,0.023988,0.070373,0.045761,0.613684,0,1
0,0,0,0,0,0,0,1
