0.232,0.489,0.438,0.507,0.346,0.638,0.49,0.644,0.608,1.0,0.0
0.263,0.487,0.477,0.507,0.385,0.638,0.503,0.615,0.576,0.0,1.0
0.101,0.487,0.43,0.507,0.346,0.639,0.575,0.644,0.585,0.0,1.0
0.101,0.487,0.453,0.507,0.356,0.637,0.595,0.64,0.576,0.0,1.0
0.586,0.487,0.523,0.507,0.311,0.638,0.333,0.7,0.701,1.0,0.0
0.283,0.487,0.578,0.507,0.388,0.638,0.575,0.632,0.576,0.0,1.0
0.101,0.487,0.625,0.506,0.346,0.638,0.732,0.684,0.585,0.0,1.0
0.101,0.487,0.445,0.507,0.321,0.638,0.588,0.671,0.611,0.0,1.0
0.182,0.487,0.492,0.507,0.375,0.639,0.562,0.626,0.572,0.0,1.0
0.111,0.487,0.438,0.507,0.362,0.638,0.569,0.628,0.572,0.0,1.0
0.101,0.487,0.445,0.507,0.298,0.638,0.582,0.697,0.637,0.0,1.0
0.141,0.487,0.617,0.507,0.362,0.638,0.699,0.665,0.576,0.0,1.0
0.141,0.487,0.531,0.507,0.362,0.638,0.627,0.647,0.576,0.0,1.0
0.202,0.487,0.5,0.507,0.375,0.638,0.562,0.629,0.572,0.0,1.0
0.222,0.487,0.453,0.507,0.375,0.638,0.51,0.618,0.576,0.0,1.0
0.222,0.487,0.477,0.507,0.381,0.638,0.529,0.62,0.572,0.0,1.0
0.101,0.455,0.656,0.507,0.359,0.638,0.758,0.677,0.572,0.0,1.0
0.172,0.487,0.438,0.507,0.372,0.638,0.529,0.62,0.572,0.0,1.0
0.798,0.487,0.68,0.507,0.413,0.638,0.32,0.628,0.63,1.0,0.0
0.101,0.487,0.43,0.507,0.346,0.638,0.575,0.644,0.585,0.0,1.0
0.222,0.487,0.617,0.507,0.381,0.639,0.654,0.648,0.572,0.0,1.0
0.182,0.487,0.516,0.507,0.372,0.638,0.595,0.636,0.572,0.0,1.0
0.101,0.488,0.461,0.507,0.298,0.638,0.595,0.7,0.637,0.0,1.0
0.283,0.487,0.508,0.508,0.388,0.638,0.516,0.618,0.572,0.0,1.0
0.283,0.487,0.523,0.507,0.388,0.638,0.523,0.62,0.576,0.0,1.0
0.101,0.487,0.414,0.507,0.343,0.638,0.562,0.644,0.588,0.0,1.0
0.101,0.487,0.664,0.507,0.359,0.638,0.758,0.677,0.576,0.0,1.0
0.222,0.487,0.672,0.507,0.375,0.638,0.693,0.663,0.576,0.0,1.0
0.525,0.488,0.484,0.507,0.228,0.638,0.34,0.775,0.775,1.0,0.0
0.242,0.487,0.453,0.507,0.385,0.639,0.497,0.61,0.572,0.0,1.0
0.323,0.488,0.492,0.507,0.397,0.639,0.477,0.605,0.572,0.0,1.0
0.101,0.487,0.68,0.507,0.349,0.638,0.778,0.69,0.582,0.0,1.0
0.121,0.488,0.438,0.507,0.362,0.638,0.556,0.628,0.572,0.0,1.0
0.242,0.487,0.469,0.507,0.385,0.638,0.51,0.615,0.572,0.0,1.0
0.222,0.487,0.438,0.507,0.375,0.638,0.503,0.616,0.576,0.0,1.0
0.192,0.487,0.438,0.507,0.372,0.638,0.523,0.621,0.576,0.0,1.0
0.293,0.487,0.469,0.507,0.391,0.638,0.471,0.605,0.572,0.0,1.0
0.101,0.487,0.656,0.507,0.356,0.638,0.758,0.681,0.579,0.0,1.0
0.495,0.487,0.469,0.507,0.237,0.638,0.346,0.762,0.762,1.0,0.0
0.293,0.487,0.461,0.507,0.391,0.638,0.471,0.604,0.572,0.0,1.0
0.141,0.487,0.43,0.507,0.369,0.638,0.542,0.623,0.572,0.0,1.0
0.141,0.487,0.5,0.507,0.362,0.638,0.601,0.64,0.576,0.0,1.0
0.222,0.487,0.578,0.507,0.381,0.638,0.614,0.64,0.572,0.0,1.0
0.101,0.487,0.43,0.507,0.359,0.638,0.562,0.629,0.576,0.0,1.0
0.293,0.487,0.523,0.507,0.391,0.638,0.516,0.616,0.572,0.0,1.0
0.101,0.487,0.469,0.507,0.362,0.638,0.595,0.634,0.572,0.0,1.0
0.202,0.487,0.492,0.508,0.375,0.638,0.562,0.628,0.572,0.0,1.0
0.141,0.487,0.508,0.507,0.369,0.638,0.608,0.639,0.572,0.0,1.0
0.263,0.487,0.469,0.507,0.388,0.638,0.49,0.608,0.572,0.0,1.0
0.202,0.488,0.453,0.507,0.375,0.638,0.523,0.618,0.572,0.0,1.0
0.778,0.488,0.656,0.508,0.413,0.638,0.32,0.623,0.627,1.0,0.0
